model_name,case_id,repeat_id,dataset,prediction,confidence,ground_truth,n_judge_opinions
gpt-5-mini,0,1,nlsy97,YES,75.0,True,6
gpt-5-mini,0,2,nlsy97,YES,75.0,True,6
gpt-5-mini,0,3,nlsy97,YES,75.0,True,6
gpt-5-mini,10,1,nlsy97,YES,65.0,False,6
gpt-5-mini,10,2,nlsy97,NO,65.0,False,6
gpt-5-mini,10,3,nlsy97,YES,65.0,False,6
gpt-5-mini,11,1,nlsy97,YES,65.0,False,6
gpt-5-mini,11,2,nlsy97,YES,70.0,False,6
gpt-5-mini,11,3,nlsy97,YES,70.0,False,6
gpt-5-mini,12,1,nlsy97,YES,70.0,False,6
gpt-5-mini,12,2,nlsy97,YES,80.0,False,6
gpt-5-mini,12,3,nlsy97,YES,75.0,False,6
gpt-5-mini,13,1,nlsy97,YES,70.0,False,6
gpt-5-mini,13,2,nlsy97,YES,65.0,False,6
gpt-5-mini,13,3,nlsy97,YES,70.0,False,6
gpt-5-mini,14,1,nlsy97,NO,60.0,True,6
gpt-5-mini,14,2,nlsy97,NO,65.0,True,6
gpt-5-mini,14,3,nlsy97,YES,65.0,True,6
gpt-5-mini,15,1,nlsy97,NO,60.0,False,6
gpt-5-mini,15,2,nlsy97,YES,65.0,False,6
gpt-5-mini,15,3,nlsy97,YES,65.0,False,6
gpt-5-mini,16,1,nlsy97,YES,65.0,False,6
gpt-5-mini,16,2,nlsy97,YES,65.0,False,6
gpt-5-mini,16,3,nlsy97,NO,65.0,False,6
gpt-5-mini,17,1,nlsy97,YES,70.0,False,6
gpt-5-mini,17,2,nlsy97,YES,70.0,False,6
gpt-5-mini,17,3,nlsy97,YES,70.0,False,6
gpt-5-mini,18,1,nlsy97,NO,65.0,False,6
gpt-5-mini,18,2,nlsy97,NO,65.0,False,6
gpt-5-mini,18,3,nlsy97,YES,70.0,False,6
gpt-5-mini,19,1,nlsy97,YES,75.0,False,6
gpt-5-mini,19,2,nlsy97,YES,70.0,False,6
gpt-5-mini,19,3,nlsy97,YES,70.0,False,6
gpt-5-mini,1,1,nlsy97,YES,80.0,False,6
gpt-5-mini,1,2,nlsy97,YES,80.0,False,6
gpt-5-mini,1,3,nlsy97,YES,78.0,False,6
gpt-5-mini,20,1,nlsy97,YES,65.0,True,6
gpt-5-mini,20,2,nlsy97,YES,70.0,True,6
gpt-5-mini,20,3,nlsy97,YES,70.0,True,6
