model_name,case_id,repeat_id,dataset,prediction,confidence,ground_truth,n_judge_opinions
gemini/gemini-2.5-flash,0,1,compas,YES,80.0,True,6
gemini/gemini-2.5-flash,0,2,compas,YES,85.0,True,6
gemini/gemini-2.5-flash,0,3,compas,YES,85.0,True,6
gemini/gemini-2.5-flash,100,1,compas,NO,85.0,False,6
gemini/gemini-2.5-flash,100,2,compas,NO,85.0,False,6
gemini/gemini-2.5-flash,100,3,compas,NO,70.0,False,6
gemini/gemini-2.5-flash,101,1,compas,NO,70.0,False,6
gemini/gemini-2.5-flash,101,2,compas,NO,75.0,False,6
gemini/gemini-2.5-flash,101,3,compas,NO,70.0,False,6
gemini/gemini-2.5-flash,104,1,compas,NO,70.0,True,6
gemini/gemini-2.5-flash,104,2,compas,NO,70.0,True,6
gemini/gemini-2.5-flash,104,3,compas,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,108,1,compas,NO DECISION,0.0,True,1
gemini/gemini-2.5-flash,108,2,compas,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,108,3,compas,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,109,1,compas,NO,90.0,False,6
gemini/gemini-2.5-flash,109,2,compas,NO,88.0,False,6
gemini/gemini-2.5-flash,109,3,compas,NO,85.0,False,6
gemini/gemini-2.5-flash,10,1,compas,YES,85.0,False,6
gemini/gemini-2.5-flash,10,2,compas,YES,75.0,False,6
gemini/gemini-2.5-flash,10,3,compas,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,111,1,compas,YES,85.0,True,6
gemini/gemini-2.5-flash,111,2,compas,YES,90.0,True,6
gemini/gemini-2.5-flash,111,3,compas,YES,85.0,True,6
gemini/gemini-2.5-flash,112,1,compas,YES,60.0,False,6
gemini/gemini-2.5-flash,112,2,compas,NO,65.0,False,6
gemini/gemini-2.5-flash,112,3,compas,YES,75.0,False,6
gemini/gemini-2.5-flash,113,1,compas,NO,95.0,False,6
gemini/gemini-2.5-flash,113,2,compas,NO,95.0,False,6
gemini/gemini-2.5-flash,113,3,compas,NO,95.0,False,6
gemini/gemini-2.5-flash,114,1,compas,YES,65.0,False,6
gemini/gemini-2.5-flash,114,2,compas,YES,65.0,False,6
gemini/gemini-2.5-flash,114,3,compas,YES,65.0,False,6
gemini/gemini-2.5-flash,115,1,compas,YES,70.0,False,6
gemini/gemini-2.5-flash,115,2,compas,YES,65.0,False,6
gemini/gemini-2.5-flash,115,3,compas,NO,70.0,False,6
gemini/gemini-2.5-flash,117,1,compas,NO,95.0,False,6
gemini/gemini-2.5-flash,117,2,compas,NO,90.0,False,6
gemini/gemini-2.5-flash,117,3,compas,NO,90.0,False,6
gemini/gemini-2.5-flash,118,1,compas,NO,80.0,True,6
gemini/gemini-2.5-flash,118,2,compas,NO,70.0,True,6
gemini/gemini-2.5-flash,118,3,compas,NO,75.0,True,6
gemini/gemini-2.5-flash,119,1,compas,NO,80.0,False,6
gemini/gemini-2.5-flash,119,2,compas,NO,75.0,False,6
gemini/gemini-2.5-flash,119,3,compas,NO,85.0,False,6
gemini/gemini-2.5-flash,11,1,compas,NO,90.0,False,6
gemini/gemini-2.5-flash,11,2,compas,NO,88.0,False,6
gemini/gemini-2.5-flash,11,3,compas,NO,90.0,False,6
gemini/gemini-2.5-flash,120,1,compas,NO,85.0,True,6
gemini/gemini-2.5-flash,120,2,compas,NO,85.0,True,6
gemini/gemini-2.5-flash,120,3,compas,NO,75.0,True,6
gemini/gemini-2.5-flash,122,1,compas,NO,75.0,False,6
gemini/gemini-2.5-flash,122,2,compas,YES,80.0,False,6
gemini/gemini-2.5-flash,122,3,compas,YES,85.0,False,6
gemini/gemini-2.5-flash,123,1,compas,NO,85.0,False,6
gemini/gemini-2.5-flash,123,2,compas,NO DECISION,0.0,False,6
gemini/gemini-2.5-flash,123,3,compas,NO DECISION,0.0,False,5
gemini/gemini-2.5-flash,124,1,compas,YES,70.0,True,6
gemini/gemini-2.5-flash,124,2,compas,YES,65.0,True,6
gemini/gemini-2.5-flash,124,3,compas,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,125,1,compas,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,125,2,compas,NO,95.0,True,6
gemini/gemini-2.5-flash,125,3,compas,NO,95.0,True,6
gemini/gemini-2.5-flash,126,1,compas,YES,75.0,False,6
gemini/gemini-2.5-flash,126,2,compas,YES,85.0,False,6
gemini/gemini-2.5-flash,126,3,compas,YES,65.0,False,6
gemini/gemini-2.5-flash,127,1,compas,YES,85.0,True,6
