id,age,sex,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,decile_score,two_year_recid
1,33,Male,Caucasian,0,0,0,3,F,8,1
2,24,Male,Caucasian,0,0,0,3,M,8,1
3,34,Male,African-American,0,0,0,12,F,9,1
4,41,Female,African-American,0,0,0,8,F,8,1
5,40,Female,Caucasian,0,0,0,0,M,1,0
6,39,Male,African-American,0,0,0,6,F,3,1
7,52,Female,Caucasian,0,0,0,0,M,1,0
8,38,Male,Hispanic,0,0,0,0,M,1,0
9,21,Male,Caucasian,0,0,0,1,F,4,0
10,21,Male,African-American,0,0,0,1,F,5,1
11,43,Male,African-American,0,0,0,5,M,6,0
12,37,Male,Caucasian,0,0,0,1,M,2,0
13,31,Male,African-American,0,0,0,5,M,5,0
14,42,Male,Hispanic,0,0,0,0,M,1,0
15,28,Male,Caucasian,0,0,0,1,F,7,1
16,63,Male,African-American,0,0,0,0,M,1,0
17,27,Male,Caucasian,0,0,0,2,F,7,1
18,28,Male,African-American,0,0,0,3,M,3,1
19,22,Male,African-American,0,0,0,0,F,4,1
20,39,Male,Caucasian,0,0,0,1,F,1,0
21,37,Female,African-American,0,0,0,2,F,1,0
22,25,Male,African-American,0,0,0,1,F,4,1
23,58,Male,Caucasian,0,0,0,5,F,3,1
24,21,Male,African-American,0,0,0,0,F,8,1
25,40,Male,Caucasian,0,0,0,10,F,7,1
26,50,Male,Caucasian,0,0,0,0,M,1,0
27,27,Male,Caucasian,0,0,0,2,F,5,0
28,45,Male,African-American,0,0,0,3,M,2,0
29,25,Female,Caucasian,0,0,0,0,M,4,0
30,24,Male,Caucasian,0,0,0,8,F,9,0
31,22,Male,African-American,0,0,1,1,F,10,1
32,48,Female,Caucasian,0,0,0,1,M,1,0
33,23,Male,African-American,0,0,0,0,F,7,0
34,32,Male,African-American,0,0,0,3,F,7,1
35,23,Male,African-American,0,0,0,6,F,9,1
36,52,Female,African-American,0,0,0,0,F,1,0
37,22,Male,African-American,0,0,0,0,M,10,0
38,35,Male,African-American,0,0,1,8,F,7,1
39,35,Male,African-American,0,0,0,1,M,1,0
40,48,Male,Hispanic,0,0,0,1,M,1,0
41,34,Female,African-American,0,0,0,1,F,1,0
42,40,Male,African-American,0,0,0,0,F,1,0
43,45,Male,African-American,0,0,0,15,F,9,1
44,54,Male,Caucasian,0,0,0,0,F,1,0
45,47,Male,African-American,0,0,0,0,M,1,0
46,53,Male,Caucasian,0,0,0,8,F,5,0
47,50,Female,Caucasian,0,0,0,2,F,1,1
48,21,Female,Caucasian,0,0,0,0,F,5,0
49,28,Male,Caucasian,0,0,0,0,M,2,1
50,31,Male,African-American,0,0,0,0,F,7,0
51,32,Female,Other,0,0,0,0,M,1,0
52,22,Male,Caucasian,0,1,2,4,M,8,1
53,30,Male,African-American,0,0,0,5,F,4,1
54,59,Male,Hispanic,0,0,0,0,M,1,0
55,41,Male,African-American,0,0,0,6,F,3,0
56,26,Male,African-American,1,1,0,6,F,8,1
57,57,Female,Caucasian,0,0,0,2,F,1,0
58,54,Male,African-American,0,0,0,4,F,3,1
59,26,Male,Other,0,0,0,1,F,4,1
60,20,Female,African-American,0,0,0,0,M,4,1
61,53,Female,Hispanic,0,0,0,0,M,1,0
62,23,Male,African-American,0,0,0,2,M,9,1
63,25,Male,African-American,0,0,0,1,F,2,0
64,35,Male,African-American,0,0,0,0,F,1,0
65,22,Male,African-American,0,0,0,1,F,7,0
66,25,Male,African-American,0,0,0,0,F,7,0
67,56,Male,African-American,0,0,0,1,F,2,0
68,54,Male,Caucasian,0,0,0,1,F,1,0
69,31,Male,Hispanic,0,1,0,1,M,3,0
70,37,Male,African-American,0,0,0,17,M,9,0
71,32,Male,Hispanic,0,0,0,0,M,2,0
72,31,Male,African-American,0,1,3,10,F,5,1
73,26,Male,Caucasian,0,0,0,2,F,5,0
74,23,Male,African-American,0,0,1,4,M,8,1
75,31,Male,African-American,0,0,0,6,F,4,0
76,30,Male,Caucasian,0,0,0,0,M,1,0
77,19,Male,African-American,0,1,0,1,F,10,1
78,38,Male,Caucasian,0,0,0,12,F,5,0
79,26,Male,Caucasian,0,0,0,2,F,9,1
80,38,Female,Caucasian,0,0,0,5,F,6,1
81,36,Male,Hispanic,0,0,0,1,M,5,0
82,20,Male,African-American,0,0,0,1,M,4,0
83,27,Male,Caucasian,0,0,0,3,M,1,0
84,29,Male,African-American,0,1,0,16,F,10,0
85,28,Male,Hispanic,0,0,0,0,M,2,1
86,21,Female,Caucasian,0,0,2,0,F,6,0
87,42,Male,Caucasian,0,0,0,0,M,1,0
88,33,Male,African-American,0,0,0,1,F,2,0
89,22,Male,African-American,0,1,0,3,F,7,1
90,39,Male,Caucasian,0,0,0,3,F,6,1
91,24,Male,African-American,0,0,0,3,M,7,0
92,26,Male,African-American,0,0,0,3,F,10,1
93,28,Male,Caucasian,0,0,0,1,F,4,1
94,29,Male,African-American,0,0,0,2,F,4,1
95,37,Male,African-American,1,8,5,23,F,8,1
96,22,Male,Hispanic,0,0,0,0,F,4,1
97,25,Male,Other,0,0,0,2,M,2,1
98,47,Female,African-American,0,1,1,21,M,9,1
99,20,Male,African-American,0,1,0,1,F,10,1
100,24,Male,Hispanic,0,0,0,1,F,4,1
101,35,Male,Hispanic,0,0,1,0,F,3,0
102,35,Female,Caucasian,0,0,0,4,F,3,0
103,24,Male,African-American,0,0,0,0,F,7,1
104,31,Male,African-American,0,0,0,5,F,5,1
105,36,Female,Caucasian,0,0,0,5,F,3,1
106,29,Male,African-American,0,0,0,11,F,3,1
107,24,Male,African-American,0,0,0,5,F,6,0
108,30,Male,Caucasian,0,0,0,1,F,3,1
109,24,Male,African-American,0,1,0,4,F,8,1
110,21,Male,Caucasian,0,0,1,0,M,3,0
111,22,Male,Caucasian,0,0,0,0,F,4,0
112,23,Male,African-American,0,0,2,4,F,8,1
113,37,Male,Hispanic,0,0,0,1,F,5,0
114,65,Female,African-American,0,0,0,0,F,1,0
115,20,Male,African-American,0,0,2,0,F,4,0
116,52,Male,African-American,0,0,0,4,M,5,0
117,39,Male,African-American,0,0,0,1,M,2,1
118,42,Male,Caucasian,0,0,0,0,F,2,0
119,30,Male,African-American,0,0,0,1,F,3,1
120,37,Male,Caucasian,0,0,0,0,F,4,0
121,26,Male,Hispanic,0,0,0,1,M,2,1
122,25,Male,Caucasian,0,0,0,0,F,5,0
123,29,Male,African-American,3,0,0,6,F,2,0
124,60,Male,Other,0,0,0,4,F,1,0
125,28,Male,African-American,0,0,0,2,F,5,1
126,66,Male,Caucasian,0,0,0,1,F,1,1
127,26,Male,African-American,0,0,0,2,F,6,0
128,19,Male,Caucasian,0,1,3,1,F,10,1
129,30,Male,Caucasian,0,1,1,3,F,3,0
130,27,Male,African-American,0,0,0,2,F,9,1
131,56,Male,Other,0,0,0,0,M,1,0
132,24,Male,African-American,0,1,0,5,F,5,1
133,24,Male,Other,0,0,0,5,F,5,1
134,27,Male,Caucasian,0,0,0,0,F,8,1
135,22,Male,African-American,0,0,0,0,F,4,0
136,32,Female,African-American,0,0,0,0,M,2,0
137,30,Male,African-American,1,0,2,8,F,5,1
138,19,Male,African-American,0,2,0,3,F,4,1
139,31,Male,Caucasian,0,0,0,11,F,7,1
140,24,Female,Other,0,0,0,0,F,4,0
141,20,Male,Hispanic,0,0,0,3,F,10,1
142,52,Male,Caucasian,0,0,0,1,M,1,0
143,26,Male,Hispanic,0,0,0,0,M,1,0
144,22,Male,African-American,0,0,0,1,F,6,1
145,22,Male,African-American,1,0,0,1,M,7,0
146,32,Male,African-American,0,0,0,2,F,8,1
147,40,Male,African-American,0,0,0,1,F,1,0
148,32,Male,African-American,0,0,0,1,F,2,0
149,25,Male,Caucasian,0,1,0,9,F,9,1
150,28,Male,African-American,0,0,0,5,M,8,0
151,45,Male,Caucasian,0,0,0,2,M,1,0
152,39,Male,African-American,0,0,0,4,F,9,0
153,47,Male,Caucasian,0,0,0,13,M,4,1
154,34,Male,African-American,1,0,0,5,F,6,0
155,45,Female,Caucasian,0,0,0,5,M,2,0
156,40,Male,Caucasian,0,0,0,5,F,1,1
157,23,Female,African-American,0,0,0,1,F,3,0
158,39,Male,Caucasian,0,0,0,6,F,6,0
159,71,Male,Caucasian,0,0,0,1,M,1,0
160,37,Male,African-American,0,0,0,0,F,8,0
161,26,Male,African-American,0,0,0,9,M,4,1
162,49,Male,Caucasian,0,0,0,4,M,8,0
163,43,Male,Caucasian,0,0,0,1,M,1,0
164,28,Male,Caucasian,0,0,0,0,F,7,0
165,47,Male,African-American,0,0,0,3,F,5,1
166,29,Male,African-American,0,0,0,15,F,6,1
167,22,Female,Caucasian,0,0,1,1,M,3,0
168,24,Male,African-American,0,0,0,1,M,2,1
169,56,Male,Caucasian,0,0,0,0,M,1,1
170,27,Female,Hispanic,0,0,0,0,M,2,1
171,51,Male,African-American,0,0,1,12,F,8,1
172,29,Male,African-American,0,0,0,1,M,2,1
173,39,Male,African-American,0,0,0,1,F,6,0
174,43,Male,Caucasian,0,0,0,1,M,1,0
175,47,Male,African-American,0,0,0,4,F,3,0
176,33,Male,Caucasian,0,0,0,0,F,2,0
177,24,Male,African-American,0,0,0,0,F,5,0
178,34,Male,Hispanic,0,0,0,2,M,3,0
179,48,Male,Asian,0,0,0,0,F,2,0
180,25,Female,Caucasian,0,0,0,1,M,4,1
181,47,Male,Caucasian,0,0,0,3,M,5,0
182,30,Male,Caucasian,0,0,0,0,M,2,1
183,24,Male,African-American,0,0,0,0,F,4,0
184,41,Male,Caucasian,0,0,0,5,F,1,0
185,31,Male,Hispanic,0,1,0,19,F,7,1
186,34,Male,African-American,0,0,0,1,F,1,0
187,30,Male,African-American,0,1,0,9,F,7,1
188,29,Male,Hispanic,0,0,0,0,F,2,0
189,30,Male,African-American,1,0,0,5,F,9,1
190,25,Male,African-American,0,0,0,1,F,6,0
191,32,Male,African-American,0,0,0,14,F,8,1
192,36,Female,Caucasian,0,0,0,0,F,2,0
193,36,Male,African-American,0,0,0,1,F,8,1
194,37,Male,African-American,0,0,0,5,F,6,0
195,23,Male,African-American,0,0,0,2,F,9,1
196,77,Male,African-American,0,0,0,1,M,1,1
197,67,Male,Caucasian,0,0,0,0,F,1,1
198,75,Female,African-American,0,0,0,5,F,1,0
199,21,Male,African-American,0,1,0,1,F,3,0
200,20,Male,African-American,0,0,1,1,F,10,1
