model_name,prompt_type,case_id,repeat_id,dataset,ground_truth,prediction,confidence,is_correct,response_time_sec,prompt_tokens,completion_tokens,total_tokens,raw_response,error,timestamp
gpt-5-mini,system1,83,0,two_year_recid,False,YES,92,False,2.7276930809020996,157,281,438,"{
  ""prediction"": ""YES"",
  ""confidence"": 92
}",,2026-02-15T09:21:06.302722
gpt-5-mini,system1,53,0,two_year_recid,False,NO,90,True,2.202143907546997,156,217,373,"{
  ""prediction"": ""NO"",
  ""confidence"": 90
}",,2026-02-15T09:21:09.030866
gpt-5-mini,system1,70,0,two_year_recid,False,NO,90,True,2.4774200916290283,156,274,430,"{""prediction"":""NO"",""confidence"":90}",,2026-02-15T09:21:11.233332
gpt-5-mini,system1,45,0,two_year_recid,False,NO,70,True,3.1791019439697266,157,402,559,"{""prediction"":""NO"",""confidence"":70}",,2026-02-15T09:21:13.711152
gpt-5-mini,system1,44,0,two_year_recid,False,NO,93,True,2.1454830169677734,157,210,367,"{""prediction"":""NO"",""confidence"":93}",,2026-02-15T09:21:16.890666
gpt-5-mini,system1,39,0,two_year_recid,False,NO,92,True,2.7718758583068848,156,281,437,"{
  ""prediction"": ""NO"",
  ""confidence"": 92
}",,2026-02-15T09:21:19.036411
gpt-5-mini,system1,22,0,two_year_recid,True,NO,80,False,3.447025775909424,157,409,566,"{
  ""prediction"": ""NO"",
  ""confidence"": 80
}",,2026-02-15T09:21:21.809346
gpt-5-mini,system1,80,0,two_year_recid,False,NO,80,True,2.983297109603882,156,274,430,"{""prediction"":""NO"",""confidence"":80}",,2026-02-15T09:21:25.256726
gpt-5-mini,system1,10,0,two_year_recid,False,YES,70,False,3.187772274017334,157,402,559,"{""prediction"":""YES"",""confidence"":70}",,2026-02-15T09:21:28.240295
gpt-5-mini,system1,0,0,two_year_recid,True,YES,85,True,2.610501766204834,157,211,368,"{""prediction"":""YES"", ""confidence"":85}",,2026-02-15T09:21:31.429022
gpt-5-mini,system1,18,0,two_year_recid,True,NO,80,False,2.5421149730682373,157,274,431,"{""prediction"":""NO"",""confidence"":80}",,2026-02-15T09:21:34.039721
gpt-5-mini,system1,30,0,two_year_recid,True,YES,90,True,2.95780611038208,157,409,566,"{
  ""prediction"": ""YES"",
  ""confidence"": 90
}",,2026-02-15T09:21:36.582041
gpt-5-mini,system1,73,0,two_year_recid,True,YES,85,True,2.6449551582336426,157,281,438,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-15T09:21:39.540016
gpt-5-mini,system1,33,0,two_year_recid,True,YES,80,True,2.6582930088043213,157,281,438,"{
  ""prediction"": ""YES"",
  ""confidence"": 80
}",,2026-02-15T09:21:42.185237
gpt-5-mini,system1,90,0,two_year_recid,False,YES,82,False,2.505613088607788,157,274,431,"{""prediction"":""YES"",""confidence"":82}",,2026-02-15T09:21:44.843951
gpt-5-mini,system1,4,0,two_year_recid,False,NO,92,True,2.6105141639709473,157,217,374,"{
  ""prediction"": ""NO"",
  ""confidence"": 92
}",,2026-02-15T09:21:47.350244
gpt-5-mini,system1,76,0,two_year_recid,True,YES,88,True,2.46419620513916,157,281,438,"{
  ""prediction"": ""YES"",
  ""confidence"": 88
}",,2026-02-15T09:21:49.961018
gpt-5-mini,system1,77,0,two_year_recid,False,YES,75,False,2.861576795578003,157,345,502,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-15T09:21:52.425480
gpt-5-mini,system1,12,0,two_year_recid,False,NO,65,True,5.111763000488281,157,658,815,"{""prediction"":""NO"",""confidence"":65}",,2026-02-15T09:21:55.287288
gpt-5-mini,system1,31,0,two_year_recid,False,NO,90,True,2.3627657890319824,157,217,374,"{
  ""prediction"": ""NO"",
  ""confidence"": 90
}",,2026-02-15T09:22:00.399519
gpt-5-mini,system1,55,0,two_year_recid,True,YES,90,True,2.929763078689575,157,281,438,"{
  ""prediction"": ""YES"",
  ""confidence"": 90
}",,2026-02-15T09:22:02.762537
gpt-5-mini,system1,88,0,two_year_recid,True,YES,85,True,3.557878017425537,157,345,502,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-15T09:22:05.692875
gpt-5-mini,system1,26,0,two_year_recid,False,NO,70,True,2.996767997741699,157,281,438,"{
  ""prediction"": ""NO"",
  ""confidence"": 70
}",,2026-02-15T09:22:09.251071
gpt-5-mini,system1,42,0,two_year_recid,True,YES,92,True,2.6783759593963623,157,274,431,"{""prediction"":""YES"",""confidence"":92}",,2026-02-15T09:22:12.248073
gpt-5-mini,system1,69,0,two_year_recid,False,YES,90,False,2.641880750656128,157,281,438,"{
  ""prediction"": ""YES"",
  ""confidence"": 90
}",,2026-02-15T09:22:14.926727
gpt-5-mini,system1,15,0,two_year_recid,False,NO,95,True,3.0497539043426514,157,281,438,"{
  ""prediction"": ""NO"",
  ""confidence"": 95
}",,2026-02-15T09:22:17.568829
gpt-5-mini,system1,40,0,two_year_recid,False,NO,85,True,2.4591002464294434,157,281,438,"{
  ""prediction"": ""NO"",
  ""confidence"": 85
}",,2026-02-15T09:22:20.621237
gpt-5-mini,system1,96,0,two_year_recid,True,NO,85,False,2.1912598609924316,156,210,366,"{""prediction"":""NO"",""confidence"":85}",,2026-02-15T09:22:23.080896
gpt-5-mini,system1,9,0,two_year_recid,True,NO,70,False,2.49098801612854,157,281,438,"{
  ""prediction"": ""NO"",
  ""confidence"": 70
}",,2026-02-15T09:22:25.272452
gpt-5-mini,system1,72,0,two_year_recid,False,NO,65,True,3.216729164123535,157,345,502,"{
  ""prediction"": ""NO"",
  ""confidence"": 65
}",,2026-02-15T09:22:27.764676
