model_name,prompt_type,case_id,mv_prediction,ground_truth,n_reps,n_valid,yes_votes,no_votes,mv_correct
gemini/gemini-2.5-flash,system1,0,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,1,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,2,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,3,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,4,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,5,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,6,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,7,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,8,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,9,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,10,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,11,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,12,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,13,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,14,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,15,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,16,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,17,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,18,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,19,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,20,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,21,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,22,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,23,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,24,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,25,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,26,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,27,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,28,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,29,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,30,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,31,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,32,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,33,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,34,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,35,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,36,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,37,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,38,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,39,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,40,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,41,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,42,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,43,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,44,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,45,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,46,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,47,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,48,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,49,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,50,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,51,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,52,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,53,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,54,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,55,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,56,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,57,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,58,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,59,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,60,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,61,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,62,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,63,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,64,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,65,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,66,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,67,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,68,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,69,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,70,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,71,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,72,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,73,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,74,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,75,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,76,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,77,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,78,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,79,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,80,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,81,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,82,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,83,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,84,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,85,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,86,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,87,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,88,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,89,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,90,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,91,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,92,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,93,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,94,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,95,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,96,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,97,NO_DECISION,True,0,0,0,0,
gemini/gemini-2.5-flash,system1,98,NO_DECISION,False,0,0,0,0,
gemini/gemini-2.5-flash,system1,99,NO_DECISION,False,0,0,0,0,
gpt-4.1-mini,system1,0,YES,False,59,59,59,0,False
gpt-4.1-mini,system1,1,YES,False,59,59,59,0,False
gpt-4.1-mini,system1,2,YES,False,59,59,58,1,False
gpt-4.1-mini,system1,3,NO,True,59,59,0,59,False
gpt-4.1-mini,system1,4,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,5,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,6,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,7,NO,True,59,59,0,59,False
gpt-4.1-mini,system1,8,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,9,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,10,NO,True,59,59,0,59,False
gpt-4.1-mini,system1,11,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,12,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,13,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,14,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,15,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,16,YES,False,59,59,59,0,False
gpt-4.1-mini,system1,17,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,18,YES,False,59,59,56,3,False
gpt-4.1-mini,system1,19,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,20,NO,False,59,59,0,59,True
gpt-4.1-mini,system1,21,NO,False,59,59,0,59,True
